YEAR,MONTH,DISTRICT,PRECTOT
1987,11,Baglung,0.0
1987,12,Baglung,6.17
1988,1,Baglung,13.57
1988,2,Baglung,3.57
1988,3,Baglung,28.19
1988,4,Baglung,18.26
1988,5,Baglung,35.07
1988,6,Baglung,77.12
1988,7,Baglung,372.31
1988,8,Baglung,282.92
1988,9,Baglung,65.96
1988,10,Baglung,12.97
1988,11,Baglung,0.0
1988,12,Baglung,17.38
1989,1,Baglung,27.61
1989,2,Baglung,9.87
1989,3,Baglung,7.09
1989,4,Baglung,6.61
1989,5,Baglung,40.97
1989,6,Baglung,129.19
1989,7,Baglung,213.48
1989,8,Baglung,152.01
1989,9,Baglung,61.0
1989,10,Baglung,7.09
1989,11,Baglung,2.62
1989,12,Baglung,6.91
1990,1,Baglung,0.12
1990,2,Baglung,25.49
1990,3,Baglung,6.17
1990,4,Baglung,6.39
1990,5,Baglung,20.61
1990,6,Baglung,129.8
1990,7,Baglung,435.98
1990,8,Baglung,146.61
1990,9,Baglung,108.02
1990,10,Baglung,8.91
1990,11,Baglung,0.04
1990,12,Baglung,1.9
1991,1,Baglung,5.72
1991,2,Baglung,1.14
1991,3,Baglung,9.98
1991,4,Baglung,1.15
1991,5,Baglung,29.38
1991,6,Baglung,25.53
1991,7,Baglung,133.92
1991,8,Baglung,143.64
1991,9,Baglung,121.81
1991,10,Baglung,2.95
1991,11,Baglung,0.6
1991,12,Baglung,31.48
1992,1,Baglung,0.99
1992,2,Baglung,1.96
1992,3,Baglung,1.17
1992,4,Baglung,0.13
1992,5,Baglung,16.97
1992,6,Baglung,84.22
1992,7,Baglung,162.47
1992,8,Baglung,151.83
1992,9,Baglung,104.41
1992,10,Baglung,73.4
1992,11,Baglung,4.46
1992,12,Baglung,0.49
1993,1,Baglung,5.67
1993,2,Baglung,2.19
1993,3,Baglung,32.49
1993,4,Baglung,12.65
1993,5,Baglung,26.48
1993,6,Baglung,103.67
1993,7,Baglung,155.82
1993,8,Baglung,95.76
1993,9,Baglung,111.31
1993,10,Baglung,3.36
1993,11,Baglung,0.51
1993,12,Baglung,0.0
1994,1,Baglung,16.84
1994,2,Baglung,3.89
1994,3,Baglung,4.62
1994,4,Baglung,1.74
1994,5,Baglung,6.96
1994,6,Baglung,96.38
1994,7,Baglung,173.43
1994,8,Baglung,78.88
1994,9,Baglung,126.55
1994,10,Baglung,3.06
1994,11,Baglung,0.1
1994,12,Baglung,0.0
1995,1,Baglung,7.93
1995,2,Baglung,12.13
1995,3,Baglung,4.87
1995,4,Baglung,5.64
1995,5,Baglung,16.06
1995,6,Baglung,133.95
1995,7,Baglung,168.71
1995,8,Baglung,186.55
1995,9,Baglung,46.53
1995,10,Baglung,6.22
1995,11,Baglung,31.41
1995,12,Baglung,2.79
1996,1,Baglung,36.82
1996,2,Baglung,21.93
1996,3,Baglung,1.95
1996,4,Baglung,32.84
1996,5,Baglung,37.01
1996,6,Baglung,79.97
1996,7,Baglung,140.15
1996,8,Baglung,199.13
1996,9,Baglung,40.98
1996,10,Baglung,42.59
1996,11,Baglung,0.01
1996,12,Baglung,0.0
1997,1,Baglung,4.21
1997,2,Baglung,0.0
1997,3,Baglung,1.36
1997,4,Baglung,29.55
1997,5,Baglung,7.88
1997,6,Baglung,35.16
1997,7,Baglung,105.51
1997,8,Baglung,99.65
1997,9,Baglung,19.58
1997,10,Baglung,3.38
1997,11,Baglung,1.29
1997,12,Baglung,17.32
1998,1,Baglung,1.32
1998,2,Baglung,2.84
1998,3,Baglung,13.81
1998,4,Baglung,17.77
1998,5,Baglung,16.53
1998,6,Baglung,73.61
1998,7,Baglung,198.78
1998,8,Baglung,214.95
1998,9,Baglung,87.17
1998,10,Baglung,46.2
1998,11,Baglung,0.86
1998,12,Baglung,0.0
1999,1,Baglung,10.64
1999,2,Baglung,0.3
1999,3,Baglung,0.13
1999,4,Baglung,10.72
1999,5,Baglung,45.57
1999,6,Baglung,57.66
1999,7,Baglung,69.47
1999,8,Baglung,111.14
1999,9,Baglung,48.62
1999,10,Baglung,50.86
1999,11,Baglung,0.0
1999,12,Baglung,0.29
2000,1,Baglung,2.46
2000,2,Baglung,3.57
2000,3,Baglung,2.23
2000,4,Baglung,1.21
2000,5,Baglung,56.53
2000,6,Baglung,122.26
2000,7,Baglung,174.57
2000,8,Baglung,195.97
2000,9,Baglung,118.4
2000,10,Baglung,0.18
2000,11,Baglung,8.06
2000,12,Baglung,0.02
2001,1,Baglung,0.03
2001,2,Baglung,0.26
2001,3,Baglung,11.58
2001,4,Baglung,5.7
2001,5,Baglung,54.62
2001,6,Baglung,77.51
2001,7,Baglung,130.14
2001,8,Baglung,171.97
2001,9,Baglung,147.51
2001,10,Baglung,18.29
2001,11,Baglung,0.56
2001,12,Baglung,0.0
2002,1,Baglung,12.86
2002,2,Baglung,13.11
2002,3,Baglung,10.13
2002,4,Baglung,1.21
2002,5,Baglung,34.53
2002,6,Baglung,61.45
2002,7,Baglung,109.41
2002,8,Baglung,31.52
2002,9,Baglung,71.18
2002,10,Baglung,10.67
2002,11,Baglung,0.74
2002,12,Baglung,16.04
2003,1,Baglung,7.18
2003,2,Baglung,28.36
2003,3,Baglung,1.06
2003,4,Baglung,12.23
2003,5,Baglung,6.09
2003,6,Baglung,69.41
2003,7,Baglung,152.08
2003,8,Baglung,106.45
2003,9,Baglung,68.72
2003,10,Baglung,15.84
2003,11,Baglung,0.0
2003,12,Baglung,5.16
2004,1,Baglung,29.53
2004,2,Baglung,0.01
2004,3,Baglung,7.97
2004,4,Baglung,58.42
2004,5,Baglung,63.63
2004,6,Baglung,298.39
2004,7,Baglung,377.94
2004,8,Baglung,129.64
2004,9,Baglung,176.22
2004,10,Baglung,58.66
2004,11,Baglung,12.72
2004,12,Baglung,0.03
2005,1,Baglung,42.06
2005,2,Baglung,8.81
2005,3,Baglung,18.81
2005,4,Baglung,16.42
2005,5,Baglung,21.87
2005,6,Baglung,105.49
2005,7,Baglung,463.61
2005,8,Baglung,238.44
2005,9,Baglung,75.35
