,YEAR,MONTH,DISTRICT,PRECTOT
480,1982,1,Baglung,64.69
481,1982,2,Baglung,12.07
482,1982,3,Baglung,24.16
483,1982,4,Baglung,20.81
484,1982,5,Baglung,19.07
485,1982,6,Baglung,75.82
486,1982,7,Baglung,274.02
487,1982,8,Baglung,148.15
488,1982,9,Baglung,162.39
489,1982,10,Baglung,1.84
490,1982,11,Baglung,9.05
491,1982,12,Baglung,6.39
492,1983,1,Baglung,1.53
493,1983,2,Baglung,1.53
494,1983,3,Baglung,12.02
495,1983,4,Baglung,14.32
496,1983,5,Baglung,45.03
497,1983,6,Baglung,85.36
498,1983,7,Baglung,124.8
499,1983,8,Baglung,97.66
500,1983,9,Baglung,99.89
501,1983,10,Baglung,108.24
502,1983,11,Baglung,0.0
503,1983,12,Baglung,6.49
504,1984,1,Baglung,3.95
505,1984,2,Baglung,19.35
506,1984,3,Baglung,2.64
507,1984,4,Baglung,4.8
508,1984,5,Baglung,17.79
509,1984,6,Baglung,146.77
510,1984,7,Baglung,261.8
511,1984,8,Baglung,198.35
512,1984,9,Baglung,219.29
513,1984,10,Baglung,23.48
514,1984,11,Baglung,0.28
515,1984,12,Baglung,4.61
516,1985,1,Baglung,40.25
517,1985,2,Baglung,0.18
518,1985,3,Baglung,0.08
519,1985,4,Baglung,2.47
520,1985,5,Baglung,27.93
521,1985,6,Baglung,36.79
522,1985,7,Baglung,233.25
523,1985,8,Baglung,154.25
524,1985,9,Baglung,187.74
525,1985,10,Baglung,80.75
526,1985,11,Baglung,0.0
527,1985,12,Baglung,6.89
528,1986,1,Baglung,0.38
529,1986,2,Baglung,12.65
530,1986,3,Baglung,3.5
531,1986,4,Baglung,9.95
532,1986,5,Baglung,20.78
533,1986,6,Baglung,121.38
534,1986,7,Baglung,230.7
535,1986,8,Baglung,74.49
536,1986,9,Baglung,60.62
537,1986,10,Baglung,25.05
538,1986,11,Baglung,0.37
539,1986,12,Baglung,29.81
540,1987,1,Baglung,9.45
541,1987,2,Baglung,3.39
542,1987,3,Baglung,5.73
543,1987,4,Baglung,3.18
544,1987,5,Baglung,25.38
545,1987,6,Baglung,14.83
546,1987,7,Baglung,246.37
547,1987,8,Baglung,186.58
548,1987,9,Baglung,158.16
549,1987,10,Baglung,101.03
550,1987,11,Baglung,0.0
551,1987,12,Baglung,6.17
552,1988,1,Baglung,13.57
553,1988,2,Baglung,3.57
554,1988,3,Baglung,28.19
555,1988,4,Baglung,18.26
556,1988,5,Baglung,35.07
557,1988,6,Baglung,77.12
558,1988,7,Baglung,372.31
559,1988,8,Baglung,282.92
560,1988,9,Baglung,65.96
561,1988,10,Baglung,12.97
562,1988,11,Baglung,0.0
563,1988,12,Baglung,17.38
